Feature,FeatureType,OmicsLevels,Selection Frequency,N(Selectors)
cg06690548,Meth,Single+Dual+Triple,37,20
cg12981137,Meth,Single+Dual+Triple,35,17
cg12845808,Meth,Single+Dual,34,21
cg19832721,Meth,Single+Dual+Triple,33,18
cg16003238,Meth,Single+Dual+Triple,32,18
cg22442730,Meth,Single+Dual+Triple,29,17
cg12864235,Meth,Single+Dual,24,16
cg24765079,Meth,Single+Dual+Triple,20,16
cg02489552,Meth,Single+Dual+Triple,20,13
APLN,mRNA,Single+Dual+Triple,51,18
CCDC69,mRNA,Single+Dual+Triple,47,17
PPDPF,mRNA,Single+Dual+Triple,43,17
SLC6A12,mRNA,Single+Dual+Triple,42,16
PTPRF,mRNA,Single+Dual+Triple,36,18
MEIS3,mRNA,Single+Dual+Triple,34,14
CNN3-DT,mRNA,Single+Dual,33,18
PLEKHM2,mRNA,Single+Dual+Triple,32,17
RPL29,mRNA,Single+Dual+Triple,32,14
QDPR,mRNA,Single+Dual+Triple,24,15
SPACA6,mRNA,Single+Dual+Triple,21,14
hsa-miR-129-5p,miRNA,Single+Dual+Triple,83,22
hsa-miR-132,miRNA,Single+Dual+Triple,80,22
hsa-miR-885-5p,miRNA,Single+Dual+Triple,55,20
hsa-miR-29a,miRNA,Single+Dual+Triple,37,22
hsa-miR-146b-5p,miRNA,Single+Dual+Triple,27,15
hsa-miR-99a,miRNA,Single+Dual+Triple,23,12
hsa-miR-129-3p,miRNA,Single+Dual+Triple,22,19
