Feature,FeatureType,OmicsLevels,Selection Frequency,N(Selectors)
cg15700197,Meth,Single+Dual+Triple,54,19
cg23290344,Meth,Dual+Triple,33,19
cg21504624,Meth,Single+Dual,23,20
cg11052143,Meth,Single+Dual,23,17
cg25691167,Meth,Single+Dual+Triple,22,19
cg26353877,Meth,Dual+Triple,20,15
COL10A1,mRNA,Single+Dual+Triple,72,24
MMP11,mRNA,Single+Dual+Triple,57,24
LRRC3B,mRNA,Single+Dual+Triple,53,22
FIGF,mRNA,Single+Dual,37,17
CD300LG,mRNA,Single+Dual+Triple,36,19
SPRY2,mRNA,Single+Dual,33,19
PPAPDC1A,mRNA,Single+Dual+Triple,28,14
HSD17B6,mRNA,Single+Dual+Triple,27,22
ADAMTS5,mRNA,Single+Dual+Triple,26,19
PPP1R12B,mRNA,Dual+Triple,26,16
TMEM220,mRNA,Single+Dual+Triple,23,12
SDPR,mRNA,Single+Dual,21,15
CPA1,mRNA,Single+Dual+Triple,20,16
CA4,mRNA,Single+Dual+Triple,20,14
hsa-miR-21-5p,miRNA,Single+Dual+Triple,69,24
hsa-miR-139-5p,miRNA,Single+Dual+Triple,35,20
hsa-miR-96-5p,miRNA,Single+Dual+Triple,32,21
hsa-miR-10b-5p,miRNA,Single+Dual+Triple,31,19
hsa-miR-183-5p,miRNA,Single+Dual+Triple,28,20
hsa-miR-139-3p,miRNA,Single+Dual+Triple,28,18
hsa-miR-1307-5p,miRNA,Single+Dual+Triple,24,19
